# ----------------------------------------,,,,,,
# Dashboard report,,,,,,
# ----------------------------------------,,,,,,
,,,,,,
# App version adoption #,,,,,,
Latest release,Status,% of active users,Crash-free users,,,
4.1,Successful,0.7743558776167472,1,,,
4,Previous release,0.160829307568438,1,,,
,,,,,,
,,,,,,
# Audience #,,,,,,
Country,Sessions,% Total,,,,
IN,182444,0.981103259875886,,,,
AE,593,0.003188892115423913,,,,
US,587,0.003156626765183536,,,,
GB,423,0.0022747071919465684,,,,
AU,183,0.0009840931823314942,,,,
SG,162,0.0008711644564901752,,,,
MY,158,0.0008496542229965906,,,,
OM,141,0.0007582357306488562,,,,
QA,139,0.0007474806139020639,,,,
TH,116,0.0006237967713139526,,,,
SA,113,0.0006076640961937642,,,,
CA,109,0.0005861538627001796,,,,
KW,99,0.0005323782789662182,,,,
JP,79,0.0004248271114982953,,,,
ZZ,59,0.00031727594403037243,,,,
DE,58,0.0003118983856569763,,,,
ID,45,0.00024199012680282644,,,,
HK,42,0.000225857451682638,,,,
NP,36,0.00019359210144226117,,,,
NZ,36,0.00019359210144226117,,,,
NL,30,0.0001613267512018843,,,,
LK,26,0.00013981651770829972,,,,
KE,23,0.0001236838425881113,,,,
PH,22,0.00011830628421471515,,,,
IE,19,0.00010217360909452673,,,,
ZA,19,0.00010217360909452673,,,,
BE,18,0.00009679605072113058,,,,
BH,14,0.000075285817227546,,,,
PA,14,0.000075285817227546,,,,
SE,13,0.00006990825885414986,,,,
UZ,10,0.00005377558373396143,,,,
(not set),9,0.00004839802536056529,,,,
VN,8,0.00004302046698716915,,,,
LB,7,0.000037642908613773,,,,
MU,7,0.000037642908613773,,,,
NG,7,0.000037642908613773,,,,
SL,7,0.000037642908613773,,,,
FR,6,0.00003226535024037686,,,,
IT,6,0.00003226535024037686,,,,
MM,6,0.00003226535024037686,,,,
RU,5,0.000026887791866980714,,,,
BD,3,0.00001613267512018843,,,,
CN,3,0.00001613267512018843,,,,
GR,3,0.00001613267512018843,,,,
JO,3,0.00001613267512018843,,,,
KR,3,0.00001613267512018843,,,,
LU,3,0.00001613267512018843,,,,
LV,3,0.00001613267512018843,,,,
NO,3,0.00001613267512018843,,,,
TR,3,0.00001613267512018843,,,,
CH,2,0.000010755116746792287,,,,
CO,2,0.000010755116746792287,,,,
DK,2,0.000010755116746792287,,,,
ES,2,0.000010755116746792287,,,,
FI,2,0.000010755116746792287,,,,
FJ,2,0.000010755116746792287,,,,
KH,2,0.000010755116746792287,,,,
MV,2,0.000010755116746792287,,,,
MX,2,0.000010755116746792287,,,,
PL,2,0.000010755116746792287,,,,
PT,2,0.000010755116746792287,,,,
UA,2,0.000010755116746792287,,,,
AM,1,0.000005377558373396143,,,,
BB,1,0.000005377558373396143,,,,
BT,1,0.000005377558373396143,,,,
CD,1,0.000005377558373396143,,,,
DJ,1,0.000005377558373396143,,,,
EG,1,0.000005377558373396143,,,,
GE,1,0.000005377558373396143,,,,
KN,1,0.000005377558373396143,,,,
RO,1,0.000005377558373396143,,,,
AZ,0,0,,,,
BS,0,0,,,,
,,,,,,
Device Model,Users,,,,,
iPhone 6,6493,,,,,
iPhone 7,4702,,,,,
iPhone 6s,4360,,,,,
iPhone X,2508,,,,,
iPhone 5s,2389,,,,,
iPhone 7 Plus,2035,,,,,
iPhone SE,1476,,,,,
iPhone 8,936,,,,,
iPhone 6s Plus,866,,,,,
iPhone 8 Plus,722,,,,,
iPhone 6 Plus,563,,,,,
iPhone XS Max,349,,,,,
iPhone XS,330,,,,,
iPhone 5,191,,,,,
iPhone XR,128,,,,,
iPhone 4s,114,,,,,
iPhone 5c,64,,,,,
iPad 5th gen,34,,,,,
iPad Air 2,29,,,,,
iPad 6th gen,19,,,,,
iPad Pro 10.5,15,,,,,
iPad Pro 9.7 inch,13,,,,,
iPad Air,12,,,,,
iPad 4th gen,11,,,,,
iPad Mini 2,9,,,,,
iPad Mini 4,9,,,,,
iPad Pro 12.9 inch,6,,,,,
iPad Mini,5,,,,,
iPad 2,4,,,,,
iPad 3rd gen,4,,,,,
iPad Mini 3,2,,,,,
iPad Pro 12.9 2nd gen,2,,,,,
iPod touch 5th gen,2,,,,,
iPad,1,,,,,
iPod touch 6th gen,1,,,,,
,,,,,,
OS version,Users,,,,,
ios 12.1,15858,,,,,
ios 12.0.1,4032,,,,,
ios 11.4.1,3668,,,,,
ios 12.1.1,1953,,,,,
ios 12.0,1694,,,,,
ios 11.4,822,,,,,
ios 10.3.3,562,,,,,
ios 11.3.1,499,,,,,
ios 11.2.6,470,,,,,
ios 11.3,316,,,,,
ios 11.2.5,240,,,,,
ios 10.2.1,209,,,,,
ios 11.2.1,189,,,,,
ios 10.3.2,161,,,,,
ios 11.1.2,149,,,,,
ios 9.3.5,133,,,,,
ios 11.0.3,131,,,,,
ios 11.2.2,110,,,,,
ios 11.0,76,,,,,
ios 10.2,71,,,,,
ios 10.1.1,65,,,,,
ios 11.1,60,,,,,
ios 10.3.1,55,,,,,
ios 11.2,48,,,,,
ios 11.1.1,46,,,,,
ios 11.0.2,43,,,,,
ios 10.0.2,39,,,,,
ios 11.0.1,39,,,,,
ios 10.0.1,32,,,,,
ios 9.3.2,25,,,,,
ios 9.2.1,17,,,,,
ios 9.3.4,16,,,,,
ios 9.3.1,9,,,,,
ios 12.1.2,8,,,,,
ios 10.1,7,,,,,
ios 10.3,7,,,,,
ios 9.2,7,,,,,
ios 9.3.3,7,,,,,
ios 8.3,5,,,,,
ios 9.3,5,,,,,
ios 9.1,4,,,,,
ios 8.1.3,3,,,,,
ios 8.2,3,,,,,
ios 8.4.1,3,,,,,
ios 9.0.1,3,,,,,
ios 10.0,2,,,,,
ios 8.1.2,2,,,,,
ios 8.0,1,,,,,
ios 8.0.2,1,,,,,
ios 8.4,1,,,,,
ios 9.0,1,,,,,
ios 9.0.2,1,,,,,
,,,,,,
Gender,Users,,,,,
male,20831,,,,,
female,5071,,,,,
,,,,,,
Category,Male,Female,,,,
18-24,0.18466568579368972,0.053065228052967144,,,,
25-34,0.446329900277914,0.10701324178518881,,,,
35-44,0.1076017655713585,0.015988229524276608,,,,
45-54,0.03475559914991009,0.0065064574137649175,,,,
55-64,0.024358345594245545,0.004512015693967631,,,,
65+,0.012980219061631519,0.0022233120810854993,,,,